choajuo	ba'urnoi	$n_1=b_2$ is a spoken/uttered message about subject $n_2$ uttered by $n_3=b_1$ to intended audience $n_4$.
choatoaıheo	ba'urslefrica	$x_1$ (sound) is phonemically distinguished from $x_2$ (sound) in language $x_3$
choachase	ba'urtadji	$t_1$ is $b_1$'s pronunciation of utterance $b_2$ under conditions $t_3$.
choatoatoaı	ba'urvlasle	$s_1=b_2$ is a phoneme/most basic phonological subunit of word, meaning/causing $v_2$ in language $v_3$. 
choagıkuq	ba'urxausku	$b_1=c_1$  (agent) eloquently speaks/verbally expresses  $x_1=c_2$ (sedu'u/text/lu'e concept) for audience $c_3$, good/beneficial/nice for $x_2$ by standard $x_3$.
choagıkuqdıu	ba'urxauskuske	$s_1$ is a rhetoric [formal study] of rhetorical matter $s_2$ based on methodology $s_3$.
leoqgoeq	badbi'u	$bi_1=ba_1$ is a rampart/[protective wall] protecting $bi_4=ba_2$ from threat/peril/potential $ba_3$ (event).
leoqtua	badgau	$g_1$ causes event $b_1$ which defends/protects $b_2$ (object/state) from threat/peril/potential $b_3$ (event).
leoqsoımeaq	badjamblo	$bl_1=ba_1$ is a frigate/corvette of type/carrying $bl_2$, propelled by $bl_3$.
leoqheq	badvau	$v_1$ is a safe [secure lockable container] with contents $v_2$.
leoqcıa	badycau	$x_1$ is defenseless, vulnerable to $x_2$
leoqjıo	badydi'u	$b_1=d_1$ is a defensive building (castle, fortress etc.) for protection of $b_2$ from $b_3$ (enemies, danger).
leoqpoq	badypre	$x_1$ is a guardian of $x_2$ (object/state) against threat/peril/potential $x_3$ (event)
leoqsoıche	badysoi	$x_1$ is a guard guarding $x_2$
leoqsı	badzga	$x_1$ watches over / looks out for $x_2$, protecting it from threat $x_3$
jaraguobe	bajbakni	$x_1$ is an antelope (any of various bovids) of species $x_2$.
jaratıshaı	bajli'a	$b_1=c_1$ runs away from $c_2$ via route $c_3$ on surface $b_2$ using limbs $b_3$ with gait $b_4$.
jarasoqluaq	bajyjvi	$b_1=j_1$ races against $j_2$ in race $j_3$ for prize $j_4$ on track $b_2$ with legs $b_3$ and gait $b_4$.
jaralomahıeqsoqluaq	bajypipre'ojvi	$j_1=b_1=p_1=r_1$ compete(s) in a track and field athletics match against $j_2$ in competition $j_3$ for prize/title $j_4$.
guobejıam	bakcatra	$x_1$ kills bull/cow $x_2$ by method $x_3$.
guobeshoı	bakcmo	$c_1=b_1$ moos expressing $c_3$ (property).
guobehobı	baklanme	$l_1$ is a musk ox of breed $l_2$ belonging to herd $l_3$.
guobejue	bakma'i	$m_1$ is May of year $m_2$ in calendar $m_3$.
guobekurı	bakyjba	$x_1$ is a cowberry/lingonberry/blueberry/cranberry of species/variety $x_2$.
suoıchua	balcme	$x_1$ is the title (honorific appellation) of $x_2$ used by $x_3$
suoıjoe	balcre	$x_1$ is a master of/at $x_2$ (ka)
suoıchıejıo	balcu'e	$c_1$ is a university at $c_2$ teaching subject(s) $c_3$ to audience/community $c_4$ operated by $c_5$.
suoınıaı	balda'u	$x_1$ is a beast, an imposing/terrible/great creature, of species $x_2$
suoıtoreamuıq	baldakyxa'i	$xa_1$ is a great sword for use against $xa_2$ by $x_3$.
suoıgua	balgu'e	$g_1=b_1$ is an empire of peoples $g_2$ with land/territory $g_3$.
suoısoı	baljamna	$j_1$ fights a great war against $j_2$ over territory/matter $j_3$.
suoıkua	balku'a	$k_1$ is a Hall in structure $k_2$ surrounded by partitions/walls/ceiling/floor $k_3$ (mass/jo'u).
suoıchıejıogale	balkulctu	$x_1$ is a professor teaching audience $x_2$ ideas/methods/lore $x_3$ (du'u) about subject(s) $x_4$ by method $x_5$ (event).
suoıkuamarao	balkumdansu	$d_1$ (individual, mass) ballroom dances to accompaniment/music/rhythm $d_2$.
suoıruaıcue	balnoltru	$t_1=n_1=b_1$ is the emperor/empress/kaiser/tsar of peoples/territories $t_2$.
suoısoıche	balsoi	$s_1=b_1$ is a great soldier of army $s_2$ great in property $b_2$ (ka) by standard $b_3$.
suoıdıem	balzai	$x_1$ is a supermarket selling $x_2$ operated by $x_3$
zushodıu	banbixske	$s_1$ is historical/diachronic linguistics of/about subject matter $s_2$ based on methodology $s_3$.
zufıeqme	banfingri	$g_1$ is a language-creation/conlanging society/group/club.
zubeodıu	bangafske	$s_1$ is historical/diachronic linguistics of/about subject matter $x_2$ based on methodology $x_3$.
zusoaodıu	banjikske	$s_1$ is sociolinguistics based on methodology $s_2$.
zurıoqlıaq	banklemei	$x_1$ is a language with dialects $x_2$ (full set)
zumoıchudıu	banmenske	$s_1$ is psycholinguistics based on methodology $s_2$.
zuchoqdıu	banpliske	$s_1$ is pragmatics based on methodology $s_2$.
zuraq	banra'a	$s1$ pertains to language of $s2=b2$
zudıupoq	banskepre	$p_1$ is a linguist (scientist).
zuchoalaqtoaı	banvoksle	$s_1$ (phone/speech sounds; specifically is linguistic and vocal) is a phoneme in/of segment of utterance/speech stream $s_2=v_1$ in language $b_1$ of speaker $v_2=b_2$ in order to communicate/express $b_3$ (si'o/du'u; not quote(?)), produced with body-parts/tools $x_6$ at loci/in position/manner (of articulation) $x_7$
zusaıme	banxre	$x_1$ is a code-switched mixture of languages $x_2$, used by $x_3$
zubarua	banzgu	Exact meaning uncertain, probably something like $b_1$ is a language-rose.
buıhıe	barbei	$x_1$ exports $x_2$ to $x_3$ from $x_4$ via $x_5$.
buıshatı	barcreka	$c_1=b_1$ is a jacket of material $c_2$.
buı'onuq	barfa'e	$f_1$ is inside-out, with part(s) $b_1$ currently on the outside.
buıhıu	barfle	$x_1$ is a stream of $x_2$ flowing out of $x_3$.
buıgaı	barga'e	$x_1$ (observer/perceiver) senses external stimulus $x_2$ via means $x_3$ (sense/sensor) under conditions $x_4$; $x_3$ is a sense organ/exteroperceptor used to observe $x_2$ which is outside the observer $x_1$ under conditions $x_4$.
buırıa	barkalri	$x_1$ is an exit/outlet/way out of $x_2$ for $x_3$.
buıfatua	barklagau	$g_1$ ejects $k_1$ from $b_2=k_3$ via $k_4$ using means $k_5$.
buıtıshaı	barli'a	$x_1=c_1$ leaves/exits/goes outside of $x_2=c_2=b_2$ via route $x_3=c_3$.
buıdoaq	bartca	$x_{1}$ is a city with polity with city $x_{2}$. ( $x_{3}$ = tcadu3 (polity with city) is the main city).
dıbarıoq	baskle	$x_1$ is a replacement-dialect replacing words $x_2$ (sequence) with words $x_3$ (sequence) in language $x_4$
dıbarıoqchoq	basklepli	$x_1$ uses $x_2$ (zo quote) as a replacement for $x_3$ (zo quote) in language $x_4$
dıbachua	basme'e	$b_1=c_1$ is a pseudonym of $c_2$ to/used-by namer/name-user $c_3$ (person).
dıba'aobılıe	basxarfri	$x_1$ vicariously experiences $x_2$ (ka/nu/li'i), imagining themself in place of $x_3$
dıbatua	basygau	$g_1$ (agent) replaces/substitutes $b_1$ for/instead of $b_2$ in circumstance $b_3$.
dıbacheo	basysi'u	$x_1$ (plurality/set) replace/trade places with one another in circumstance $x_2$.
dıbatoa	basyvla	$v_1=b_1$ is an anaphora/pronoun/pro-word in language $v_2$ replacing word $b_2$ under conditions $b_3$.
cıoqdueq	batkyfoi	$x1=b2=f1$ is a keyboard for purpose $x2=b3$ of material $x3=b4$
cıoqjeoq	batkyke'a	$k_1$ is a buttonhole in $k_2=b_2$ for button $b_1$.
kaqgasaı	batmai	$m_1=b_1$ is chewing gum of type/composition $m_2$ in shape/form $m_3$.
kaqgase	batyja'e	$x_1$ is a bite on $x_2$ (recipient) resulting from $x_3$ (agent)
zubeoq	baucmu	$c_1$ is the basis of language $c_2=b_1$ used by $b_2$ to express/communicate $b_3$ (si'o/du'u, not quote).
zumıu	bausmu	$x_1$ is the meaning of linguistic expression $x_2$ in language $x_3$ according to interpreter $x_4$
zuhea	bauspi	$s_1$ is a split piece of language $b_1=s_2$.
bıeshao	bavdji	$d_1$ desires/wants/wishes for future $d_2$ (event/state) for purpose $d_3$ with desired future point $b_1$. $d_1$ aspires.
bıetuamoı	bavgaupei	$g_1=p_1$ thinks about/considers/ponders/reflects upon doing $b_1=g_2=p_2$ (nu) after $b_2$ (nu)
bıemıu	bavji'i	$x_1$ predicts that $x_2$ (du'u) is true in/about future time/place $x_3$ on grounds $x_4$.
bıeleaqjue	bavla'ima'i	$m_1=b_1=l_1$ is the next month; $m_1=b_1=l_1$ is the month following $b_2=l_2$, month standard $m_3$.
bıeleaqnuaq	bavlamcte	$n_1=l_1=b_1$ is the night after $b_2=l_2$ at location $n_3$.
bıeleaqchaq	bavlamdei	$d_1=b_1=l_1$ is tomorrow; $d_1=b_1=l_1$ is the day following $b_2=l_2$, day standard $d_3$.
bıeleaqjoa	bavlamjeftu	$j_1=b_1$ is the week directly after $b_2$ by standard $j_3$.
bıeleaqguo	bavlamke'u	$x_1$ is the next/following time that $x_2$ happens.
bıeleaqnıaq	bavlamna'a	$n_1=b_1=l_1$ is next year; $n_1=b_1=l_1$ is the year following $b_2=l_2$ by year standard $n_3$.
bıeleaqseum	bavlamvanci	$v_1=l_1=b_1$ is tomorrow evening; $v_1=l_1=b_1$ is the evening after $b_2=l_2$ at location $v_3$.
bıemoaqbudeq	bavmojnalka'e	$k_1$ is unable to/incapable of remembering future $k_2$ under conditions $k_3$. $k_1$ has anterograde amnesia/memory loss.
bıesoq	bavrai	$x_1$ is/are the latest, most forward in time among $x_2$
bıefeo	bavyfa'a	$x_1$ is futureward/to the futureward side/in the future of $x_2$ in frame of reference/according to observer or vantage point $x_3$.
bıebeo	bavyfarvi	$f_1$ ages / passes through time into future form $f_2 = b_1$ from current / past / earlier form $f_3 = b_2$ through stages $f_4$.
bıechı	bavykri	$x_1$ expects/anticipates $x_2$ to happen.
bıetıdo	bavypunji	$p_1$ delays $p_2$ until after $b_2$.
bıetaq	bavyse'i	$x_1$ is the future self/identity of $x_2$; $x_1$ is $x_2$ in the future.
bıedıu	bavyske	$s_1$ is futurology/future studies of/about ideas of the future $b_1=s_2$ based on methodology $s_3$.
bıeseo	bavyspe	$s_1$ is the fiancé(e)/betrothed of $s_2$ under law/custom/tradition/system/convention $s_3$.
bıeruaq	bavyxusra	$x_1$ asserts/prophesies that $x_2=b_1$ is true about the future of $b_2$.
hıepoq	beipre	$p_1=b_1$ is a carrier/porter/waiter, carrying $b_2$ to $b_3$ from $b_4$ over path $b_5$.
kerakuoq	benbo'u	$x_1$ is a braincase or neurocranium of $x_2$.
kerakuoqdea	benbogda'i	$x_1$ headbutts $x_2$.
kerashaq	bencra	$c_1$ is a/the forebrain of brain $b_1=c_2$.
keramuoq	benmro	$m_1=b_2$ is brain-dead.
keradıu	benske	$s_1$ is (cerebral) neurology/neuroscience with methodology $s_2$.
keratıa	benti'e	$t_1$ is a/the hindbrain (the posterior portion of the brain including cerebellum and pons and medulla oblongata) of  brain $b_1=t_2$.
keraheq	benvau	$v_1$ is the braincase (part of cranium) of organism $b_2$.
keraheqkuoq	benvaubo'u	$bo_1=v_1$ is a neurocranium/braincase/brainpan containing brain $bo_2=v_2=be_1$ of $bo_3=be_2$.
keraheqkıaq	benvaukre	$x_1$ is a braincase/neurocranium hair.
keragıem	benxadba	$xa_1$ is a hemisphere of brain $b_1=xa_2$.
bero'afarılabı	berfi'ocinfo	$z_1=c_1$ is a Barbary lion [Panthera leo leo] of breed $c_2$.
beroroınamıtıeq	berjoinandargu	$d_1$ is a north-south-running road to $d_2$ from $d_3$ following primarily northward-and-southward path $d_4$ according to frame of reference $b_3=s_3$
berohuaq	bermau	$b_1=z_1$ is farther north than $b_2=z_1$ according to frame of reference $b_3$ by distance/gap/margin $z_4$.
beronamıchıu	bernanjudri	$j_1$ is the latitude/declination of $j_2$ in system $j_3$.
berohochuberobero	bersunberberti	$x_1$ is north by east of $x_2$ in frame of reference $x_3$.
hıechaonhe	bevma'elai	$k_1$ is $k_2$ (quantifier, default: one) truckloads/lorryloads in quantity.
bıadu	bi'amlu	$s_1=b_1$ is sickly/appears ill with symptoms $s_2=b_2$ from disease $b_3$ to observer $s_3$.
bıasho	bi'arbi'o	$bin_1$ develops illness $bin_2=bil_1$ with symptoms $bil_2$.
bıatua	bi'argau	$x_1=g_1$ makes $x_2=b_1$ be sick from disease $x_3=b_3$; $x_1=g_1$ sickens $x_2=b_1$; $x_1=g_1$ is a pathogen
bıaleu	bi'arlitki	$l_1$ is pus of composition $l_2$ from disease $b_3$.
bıamoıchudıu	bi'armenske	$s_1$ (mass of facts) is the psychiatry of subject matter $s_2$ based on methodolgy $s_3$.
ıruecıa	bifcau	$c_1$ is still/without wind.
ırueshuaq	bifpra	$c_1$ is a fan/blower/punkah blowing air/gas with speed $b_3$ by process $c_3$.
goeqkıaotıe	bimvrogai	$g_1$ is a gate on $v_1$ between $v_2=b_2$ and $v_3=b_3$ in structure $b_4$
goeqfuaq	bimxra	$p_1$ is a mural representing/showing $p_2$, made by artist $p_3$ on wall $p_4=b_1$.
rıepoq	binpre	$j_1=p_1$ is a middleman/mediator/contact/go-between/intercessor between parties $j_2$.
rıedueq	bintu'a	$j_1=t_1$ is a parcel/expanse of land between/among set of points/bounds/limits $j_2$ at location $t_2$. $j_1=t_1$ is in limbo.
gıebeaıfa	birdadykla	$k_1$ brachiates to destination $k_2$ from origin $k_3$ via route $k_4$.
gıejıaı	birjai	$x_1=j_1$ grasps/holds/hugs $x_2=j_2$ with $x_1$'s arms, at locus $x_3=j_4$.
gıefuqpaq	birtafpau	$p_1$ is a sleeve of garment $p_2=t_1$ for wearing by $t_2$ (gender/species).
gıebıucıa	birtu'ucau	$c_1$ (garment) is sleeveless.
gıebıucıashatı	birtu'ucaucreka	$cl_1=cr_1$ is a sleeveless shirt made of material $cr_2$.
gıekuamısoqluaq	birvrajvi	$j_1$ arm-wrestles with $j_2$ for prize $j_4$.
kıeımeı	bisma'a	$x_1$ is an iceberg in ocean $x_2$.
kıeıpıu	bisycalku	$x_1$ is the thin crust/expanse of ice which sometimes forms on the upper surface of snow.
kıeıbuaı	bisycla	Exact meaning uncertain, probably something like $b_1$ is/are long as ice.
kıeınuıpıanete	bisycmaplini	$b_1=c_1=p_1$ is a comet revolving around $p_2$ with planetary characteristics $p_3$, orbital parameters $p_4$, with ice composition $b_2$.
kıeınoaı	bisyladru	$x_1=b_1=l_1$ is ice cream/frozen yoghurt made from milk of source $x_2=l_2$.
roaıjunatoaı	bivjetka'u	$k_1$ is a byte/octet.
roaıgıuteı	bivli'itai	$x1$ is an octagon
roaıkojoaq	bivmoija'a	$j_1$ has the rank of Lieutenant General/Vice Admiral/Air Marshal (equivalent of NATO OF-8) in military unit /organization $j_2$.
roaıpıanete	bivyplini	$p_1$ is the eighth closest planet (default is Neptune if p2 is the Sun) revolving around $p_2$ (default is the Sun), with planetary characteristics $p_3$, orbital parameters $p_4$.
roaıromtoaı	bivysamka'u	$k1$ is an amount of eight computer elementary particles/smallest measurable increments of computer property/activity $k2$; k1 is a byte(s)
roaıromtoaı	bivysamsle	$se1$ is eight indivisible, most basic computer subunits of computer $se2$; se1 is a byte
shokoaq	bixma'u	$b_1=m_1$ is adolescent / pubescent / maturing in development-quality $m_2$ (ka) by standard $x_3$.
shochom	bixycinki	$x_1$ is an insect with complete metamorphosis
shotua	bixygau	$x_1=b_3=g_1$ makes/turns $x_2=b_1$ into $x_3=b_2$
mıoheıga	blacindu	$x_1$ is a white oak (Quercus alba) of species/strain $x_2$.
mıokurı	blajba	$x_1$ is a blueberry of species/variety $x_2$.
mıoloha	blajinme	$x_1$ is a quantity of/contains/is made of indium (In).
mıokaq	blakanla	$x_1$ is an eye of $x_2$ and has a blue iris
mıorıq	blari'o	$c_1$ is blue-green.
gamgam	blikubli	$k_1=b_1$ is a regular polyhedron [3 dimensional] with sides/surfaces $k_3=b_3$.
gamfuaq	blixra	$p_1$ is a relief/embossment representing/showing $p_2$, made by artist $p_3$, on material $b_2$.
meaqmeaqmeaqmeaq	bloblobloblo	$x_0$: word used to test the efficiency of a lujvo-building computer program. (nullary predicate)
meaqsueqnaotoq	blobonjacta'o	$t_1=d_1=bo_1=bl_2$ is a wakeboard  of material/property $t_2$.
meaqbagabeaq	blocpuga'a	$g_1=l_2=b_3$ is an oar made of $g_2$ pulled by $l_2$ in boat $b_1$.
meaqshaq	blocra	$c_1$ is a prow of boat/ship $c_2=b_1$, boat for carrying $b_2$, propelled by $b_3$.
